+--------+---------+-------+-------------+-------------+
|  cust  |   prod  | month | 1_avg_quant | 1_max_quant |
|  Mia   | Jellies |   10  |     4227    |     837     |
|  Dan   |  Cherry |   2   |     4562    |     886     |
|  Mia   |   Ice   |   5   |     2727    |     816     |
|  Dan   |  Cherry |   8   |     6445    |     927     |
| Claire |   Ice   |   9   |     4120    |     996     |
| Claire |   Eggs  |   6   |     5270    |     980     |
|  Chae  |   Eggs  |   6   |     4739    |     982     |
|  Chae  |   Ice   |   2   |     7268    |     972     |
| Emily  |   Eggs  |   6   |     3529    |     610     |
|  Mia   |  Dates  |   12  |     4373    |     855     |
| Helen  |   Fish  |   5   |     4984    |     796     |
| Emily  |   Ice   |   2   |     2780    |     816     |
| Emily  | Jellies |   2   |     3483    |     953     |
| Claire |  Butter |   4   |     5250    |     853     |
|  Boo   |  Apple  |   10  |     3476    |     940     |
|  Sam   |  Cherry |   7   |     6051    |     1000    |
| Claire |   Ice   |   7   |     5261    |     997     |
| Helen  |   Eggs  |   9   |     6199    |     999     |
|  Sam   |   Fish  |   4   |     6886    |     875     |
|  Sam   |   Ham   |   2   |     4645    |     969     |
|  Chae  |   Fish  |   3   |     5937    |     874     |
| Emily  |  Apple  |   1   |     2611    |     708     |
| Emily  |  Grapes |   1   |     5230    |     906     |
| Claire |   Eggs  |   3   |     7031    |     934     |
|  Dan   |   Ice   |   4   |     3799    |     825     |
| Claire |   Ice   |   3   |     2868    |     786     |
|  Mia   |   Ham   |   1   |     5998    |     937     |
|  Chae  |  Cherry |   11  |     3599    |     831     |
| Emily  | Jellies |   3   |     3361    |     692     |
| Claire |   Ham   |   12  |     5543    |     871     |
| Emily  |   Ice   |   7   |     2584    |     570     |
|  Sam   |  Butter |   8   |     4166    |     972     |
| Helen  |  Apple  |   5   |     3434    |     855     |
|  Mia   |  Apple  |   7   |     4007    |     833     |
| Wally  |  Dates  |   11  |     3571    |     819     |
|  Boo   |  Dates  |   11  |     5710    |     982     |
| Emily  |   Ham   |   8   |     5448    |     975     |
|  Chae  |  Cherry |   6   |     5809    |     887     |
| Helen  |  Apple  |   2   |     3283    |     994     |
| Claire |  Apple  |   9   |     4167    |     869     |
|  Mia   |  Cherry |   8   |     2169    |     999     |
| Wally  |  Grapes |   1   |     7372    |     993     |
| Emily  |   Fish  |   9   |     3203    |     661     |
| Helen  |  Cherry |   2   |     6685    |     998     |
|  Boo   |   Eggs  |   6   |     3865    |     962     |
|  Sam   |   Eggs  |   3   |     8436    |     957     |
|  Sam   |   Fish  |   5   |     6539    |     992     |
| Helen  |   Ice   |   5   |     7502    |     979     |
| Helen  |  Dates  |   5   |     5004    |     952     |
| Claire |   Ice   |   1   |     4615    |     973     |
|  Dan   |   Ham   |   10  |     4618    |     860     |
| Wally  |   Fish  |   1   |     4583    |     871     |
|  Boo   |  Apple  |   7   |     4776    |     999     |
|  Chae  | Jellies |   4   |     4684    |     992     |
|  Dan   |  Grapes |   4   |     2580    |     960     |
|  Dan   | Jellies |   5   |     5943    |     970     |
|  Dan   |  Grapes |   10  |     3265    |     759     |
| Helen  |  Apple  |   3   |     5083    |     857     |
|  Dan   |   Ham   |   5   |     4762    |     992     |
| Emily  |  Apple  |   3   |     4038    |     971     |
|  Chae  |   Ice   |   1   |     7412    |     957     |
|  Dan   |  Dates  |   4   |     2733    |     686     |
|  Boo   |   Ham   |   8   |     3319    |     822     |
| Wally  |  Cherry |   2   |     5763    |     878     |
|  Dan   |  Apple  |   1   |     4306    |     1000    |
| Emily  |   Eggs  |   5   |     4904    |     976     |
|  Mia   |   Fish  |   4   |     5356    |     921     |
|  Chae  |   Ham   |   10  |     2879    |     787     |
|  Dan   |  Apple  |   7   |     3628    |     948     |
|  Sam   |   Eggs  |   2   |     3847    |     802     |
|  Mia   | Jellies |   4   |     6240    |     970     |
|  Boo   |   Ham   |   7   |     5365    |     853     |
| Emily  |  Apple  |   11  |     3550    |     917     |
|  Sam   |   Ham   |   10  |     7002    |     954     |
| Emily  |   Fish  |   11  |     4081    |     836     |
|  Chae  |  Apple  |   2   |     2269    |     943     |
| Claire |  Cherry |   11  |     9702    |     997     |
|  Sam   | Jellies |   10  |     5942    |     940     |
| Claire |  Butter |   6   |     1637    |     392     |
| Wally  | Jellies |   7   |     4224    |     947     |
| Claire |  Dates  |   1   |     5555    |     981     |
|  Sam   |   Fish  |   2   |     3194    |     716     |
| Helen  |  Grapes |   8   |     3362    |     954     |
|  Dan   |   Ice   |   11  |     2853    |     964     |
| Wally  |   Eggs  |   10  |     4352    |     979     |
|  Mia   |  Butter |   3   |     2238    |     806     |
| Claire |  Butter |   12  |     8468    |     955     |
|  Chae  |   Ice   |   4   |    10617    |     973     |
| Claire |   Eggs  |   5   |     3279    |     879     |
| Helen  |   Ice   |   12  |     4251    |     982     |
| Helen  |  Apple  |   7   |     6911    |     820     |
|  Sam   |  Grapes |   1   |     3908    |     995     |
| Helen  |  Grapes |   4   |     2465    |     815     |
|  Boo   |  Butter |   7   |     4916    |     852     |
| Helen  | Jellies |   9   |     6237    |     869     |
|  Boo   |  Butter |   3   |     4046    |     986     |
| Claire |   Ham   |   8   |     5389    |     846     |
| Helen  |   Fish  |   4   |     4455    |     960     |
| Emily  |   Fish  |   12  |     3887    |     987     |
| Claire | Jellies |   6   |     4481    |     862     |
| Emily  |   Fish  |   1   |     4938    |     932     |
|  Boo   |  Grapes |   3   |     6396    |     997     |
|  Chae  |  Dates  |   2   |     4910    |     986     |
|  Chae  |  Grapes |   3   |     5582    |     992     |
|  Mia   |   Eggs  |   11  |     3810    |     976     |
|  Dan   | Jellies |   11  |     3272    |     959     |
|  Mia   |   Ice   |   11  |     4381    |     987     |
| Helen  |   Ham   |   9   |     5332    |     924     |
|  Sam   |   Eggs  |   8   |     5568    |     980     |
| Claire |   Fish  |   12  |     2352    |     987     |
| Wally  |   Ham   |   3   |     2574    |     911     |
|  Boo   |   Eggs  |   3   |    10337    |     947     |
|  Boo   |  Dates  |   1   |     2332    |     603     |
|  Mia   |  Butter |   10  |     6240    |     879     |
|  Mia   |  Dates  |   1   |     2392    |     865     |
| Wally  |  Butter |   4   |     2191    |     993     |
| Emily  |  Apple  |   7   |     1249    |     549     |
| Helen  |   Eggs  |   2   |     5737    |     979     |
| Wally  |  Cherry |   6   |     6460    |     893     |
|  Boo   |   Fish  |   4   |     6854    |     1000    |
|  Mia   |  Butter |   6   |     6027    |     953     |
|  Sam   |   Ice   |   7   |     5218    |     756     |
|  Mia   |  Cherry |   9   |     7510    |     905     |
|  Dan   |  Dates  |   1   |     4886    |     945     |
|  Boo   |  Cherry |   11  |     4740    |     929     |
| Emily  |   Fish  |   10  |     6256    |     974     |
|  Mia   |   Ham   |   2   |     4504    |     882     |
| Helen  |   Ham   |   4   |     5199    |     897     |
|  Dan   | Jellies |   2   |     3881    |     842     |
|  Chae  |  Cherry |   9   |     3255    |     928     |
|  Mia   |  Grapes |   5   |     4065    |     874     |
| Emily  |  Butter |   11  |     5503    |     891     |
| Emily  |  Grapes |   11  |     3395    |     950     |
|  Sam   |   Eggs  |   12  |     5372    |     987     |
|  Mia   |  Apple  |   12  |     5288    |     958     |
| Wally  |   Ice   |   2   |     4919    |     923     |
| Claire |   Eggs  |   12  |     3493    |     872     |
| Helen  |   Ham   |   2   |     5042    |     731     |
| Wally  |  Dates  |   8   |     3693    |     978     |
|  Sam   |   Fish  |   3   |     1909    |     893     |
| Emily  |   Eggs  |   7   |     4756    |     961     |
|  Boo   |   Ham   |   2   |     3624    |     847     |
|  Chae  |  Dates  |   5   |     4428    |     695     |
|  Sam   |   Ice   |   1   |     7700    |     928     |
| Emily  |  Grapes |   5   |     3901    |     894     |
| Emily  |  Cherry |   6   |     2135    |     703     |
|  Mia   |  Butter |   2   |     4414    |     977     |
| Helen  |  Cherry |   3   |     7926    |     954     |
| Emily  |  Apple  |   2   |     9688    |     926     |
| Wally  |  Apple  |   6   |     5611    |     862     |
|  Dan   |  Cherry |   9   |     4537    |     995     |
|  Sam   |   Fish  |   1   |     5155    |     930     |
| Wally  |   Eggs  |   6   |     5553    |     906     |
| Claire |   Ice   |   10  |     3909    |     869     |
|  Mia   |   Ham   |   5   |     4153    |     919     |
|  Sam   |  Dates  |   6   |     8184    |     988     |
|  Mia   |   Ham   |   4   |     4984    |     822     |
| Emily  |  Cherry |   10  |     9061    |     917     |
| Claire | Jellies |   1   |     4041    |     914     |
|  Boo   |  Grapes |   7   |     5875    |     835     |
| Emily  | Jellies |   12  |     5444    |     874     |
|  Boo   | Jellies |   7   |     3834    |     655     |
| Helen  |   Ice   |   7   |     7827    |     876     |
|  Mia   |  Dates  |   2   |     3397    |     886     |
| Wally  | Jellies |   1   |     3250    |     936     |
| Claire |  Dates  |   9   |     2368    |     940     |
|  Chae  |   Eggs  |   4   |     4179    |     890     |
| Helen  | Jellies |   4   |     4464    |     740     |
| Emily  |   Ice   |   11  |     3399    |     968     |
|  Boo   |   Fish  |   11  |     6211    |     906     |
| Claire | Jellies |   4   |     6114    |     889     |
|  Mia   |  Grapes |   2   |     5356    |     930     |
|  Boo   |  Grapes |   11  |     2012    |     631     |
| Wally  |  Butter |   5   |     4272    |     986     |
|  Boo   |   Ham   |   4   |     4543    |     976     |
|  Mia   |  Dates  |   10  |     4235    |     832     |
|  Boo   |  Cherry |   12  |     3861    |     968     |
|  Dan   |  Butter |   11  |     6176    |     982     |
|  Mia   |   Fish  |   1   |     6657    |     972     |
|  Boo   | Jellies |   8   |     4480    |     964     |
| Wally  |   Ham   |   4   |     7431    |     994     |
| Wally  |   Ice   |   3   |     4727    |     893     |
|  Boo   |  Grapes |   5   |     3302    |     972     |
| Claire |  Dates  |   8   |     3237    |     979     |
|  Dan   |  Butter |   10  |     3655    |     800     |
|  Dan   |   Eggs  |   10  |     4902    |     810     |
|  Sam   |  Dates  |   10  |     3760    |     997     |
| Claire |  Apple  |   12  |     4123    |     971     |
| Claire |   Ham   |   1   |     5702    |     978     |
|  Chae  |  Dates  |   11  |     4968    |     969     |
|  Chae  |  Butter |   12  |     3303    |     789     |
| Helen  |   Ham   |   7   |     2224    |     774     |
|  Sam   |  Dates  |   3   |     6731    |     973     |
|  Boo   |  Cherry |   4   |     2958    |     932     |
| Helen  |   Eggs  |   6   |     5330    |     959     |
|  Sam   | Jellies |   4   |     2772    |     794     |
|  Mia   |   Fish  |   11  |     2830    |     936     |
|  Sam   |   Fish  |   6   |     5595    |     897     |
|  Dan   |   Ice   |   10  |     4309    |     862     |
|  Mia   |  Apple  |   8   |     5391    |     989     |
| Wally  |  Grapes |   11  |     5158    |     986     |
|  Mia   |  Apple  |   1   |     3837    |     908     |
| Helen  |  Butter |   3   |     2833    |     613     |
| Emily  | Jellies |   6   |     4733    |     925     |
| Emily  |  Grapes |   9   |     6543    |     911     |
|  Chae  |  Apple  |   7   |     5336    |     893     |
|  Sam   |   Eggs  |   1   |     4866    |     835     |
| Wally  | Jellies |   9   |     1774    |     734     |
|  Chae  |  Grapes |   11  |     3188    |     702     |
|  Sam   |   Ham   |   5   |     5068    |     914     |
| Emily  |  Butter |   4   |     2333    |     847     |
| Helen  |   Eggs  |   3   |     6909    |     990     |
| Wally  |  Dates  |   9   |     4451    |     964     |
| Claire |   Fish  |   6   |     2045    |     698     |
| Wally  |  Grapes |   12  |     2764    |     964     |
| Helen  |   Fish  |   3   |     4868    |     924     |
|  Dan   |  Cherry |   4   |     2199    |     737     |
|  Mia   |   Eggs  |   3   |     4547    |     820     |
|  Mia   |  Dates  |   8   |     8916    |     960     |
| Emily  |  Grapes |   4   |     4741    |     937     |
|  Sam   | Jellies |   9   |     4048    |     970     |
| Helen  |  Dates  |   1   |     4099    |     773     |
| Emily  |   Ham   |   11  |     9369    |     959     |
| Emily  | Jellies |   7   |     3383    |     984     |
|  Mia   |  Butter |   8   |     2774    |     795     |
|  Sam   |  Butter |   2   |     3740    |     779     |
| Emily  |   Eggs  |   4   |     2561    |     977     |
|  Mia   |   Ham   |   12  |     2899    |     805     |
|  Boo   |   Eggs  |   5   |     6149    |     971     |
|  Sam   |  Apple  |   5   |     2527    |     855     |
|  Mia   |   Eggs  |   2   |     4934    |     848     |
|  Mia   |  Butter |   12  |     6433    |     962     |
| Wally  |  Apple  |   11  |     5004    |     967     |
| Claire |  Cherry |   2   |     1090    |     754     |
| Emily  |  Dates  |   10  |     3689    |     901     |
| Claire |   Ice   |   5   |     5458    |     961     |
| Helen  |  Butter |   12  |     2789    |     610     |
| Helen  |  Dates  |   10  |     3854    |     985     |
|  Mia   |  Apple  |   10  |     3091    |     730     |
|  Sam   |  Grapes |   8   |     2703    |     856     |
|  Chae  |  Cherry |   7   |     3298    |     936     |
|  Sam   | Jellies |   6   |     4272    |     925     |
| Claire | Jellies |   2   |     1992    |     693     |
| Claire | Jellies |   5   |     4256    |     994     |
|  Boo   |   Ham   |   9   |     4244    |     839     |
| Claire |  Butter |   8   |     6164    |     883     |
|  Chae  |   Eggs  |   12  |     5365    |     788     |
| Wally  |   Ice   |   8   |     4457    |     867     |
| Claire |  Apple  |   1   |     4338    |     938     |
| Wally  |  Butter |   12  |     2735    |     809     |
|  Dan   |   Ice   |   9   |    12131    |     941     |
|  Dan   |  Butter |   9   |     4241    |     929     |
|  Mia   |  Cherry |   7   |     3309    |     949     |
| Helen  |  Apple  |   1   |     4360    |     966     |
| Wally  |  Apple  |   7   |     5006    |     959     |
|  Chae  | Jellies |   5   |     9235    |     999     |
| Claire |  Cherry |   1   |     2806    |     877     |
| Claire |   Eggs  |   4   |     1763    |     600     |
| Wally  |   Ham   |   12  |     3084    |     870     |
| Wally  |   Eggs  |   7   |     4657    |     894     |
| Wally  |  Apple  |   1   |     5541    |     916     |
| Wally  |   Fish  |   6   |     1855    |     695     |
| Helen  |   Ham   |   6   |     4504    |     951     |
|  Boo   |   Ice   |   10  |     3926    |     717     |
|  Mia   |  Grapes |   6   |     3386    |     597     |
|  Chae  |   Fish  |   6   |     4492    |     965     |
|  Dan   |  Cherry |   12  |     4104    |     951     |
| Claire |   Fish  |   8   |     4963    |     961     |
| Wally  |   Ice   |   6   |     1768    |     637     |
|  Dan   | Jellies |   7   |     6521    |     996     |
| Emily  |   Ice   |   5   |     3517    |     797     |
| Emily  | Jellies |   5   |     3676    |     909     |
| Emily  |  Grapes |   10  |     3453    |     877     |
|  Dan   |  Dates  |   7   |     5501    |     872     |
|  Boo   |  Butter |   10  |     5609    |     993     |
|  Chae  | Jellies |   11  |     6251    |     968     |
|  Chae  |  Butter |   6   |     6129    |     932     |
|  Chae  |  Cherry |   8   |     5464    |     894     |
|  Sam   |  Apple  |   1   |     3181    |     695     |
|  Mia   |   Fish  |   2   |     4995    |     901     |
|  Boo   |   Ice   |   8   |     2859    |     720     |
|  Dan   | Jellies |   3   |     3345    |     955     |
| Wally  | Jellies |   8   |     2776    |     841     |
| Claire |   Ham   |   2   |     3252    |     922     |
| Wally  |  Apple  |   10  |     5238    |     948     |
| Helen  |   Ham   |   5   |     6105    |     936     |
|  Chae  | Jellies |   6   |     2863    |     914     |
| Emily  |  Grapes |   12  |     1770    |     708     |
|  Sam   |   Eggs  |   6   |     2840    |     967     |
| Wally  |  Grapes |   4   |     2145    |     779     |
|  Boo   |  Butter |   8   |     3294    |     907     |
|  Sam   |  Butter |   7   |     8086    |     996     |
| Claire |   Ham   |   11  |     7674    |     966     |
| Emily  |  Butter |   2   |     3546    |     975     |
| Emily  |   Ham   |   3   |     3759    |     860     |
| Emily  |  Dates  |   12  |     2733    |     770     |
|  Chae  |   Ice   |   10  |     4932    |     908     |
|  Mia   |   Ice   |   8   |     4493    |     904     |
| Claire |  Grapes |   9   |     4585    |     958     |
| Claire |  Apple  |   6   |     5139    |     852     |
|  Boo   |  Butter |   5   |     4871    |     921     |
| Wally  |  Dates  |   1   |     3677    |     803     |
|  Boo   |   Fish  |   6   |     4125    |     997     |
|  Boo   |   Ham   |   12  |     3277    |     996     |
| Wally  |  Dates  |   7   |     4388    |     984     |
| Emily  |   Eggs  |   3   |     6606    |     981     |
| Helen  |  Apple  |   10  |     3881    |     885     |
| Wally  |   Ice   |   1   |     1953    |     957     |
|  Sam   |  Grapes |   3   |     2956    |     786     |
| Claire |   Ham   |   7   |     5393    |     985     |
| Claire |   Ice   |   4   |     3221    |     913     |
| Emily  |   Fish  |   2   |     5593    |     926     |
|  Sam   |  Apple  |   11  |     6273    |     983     |
|  Chae  |   Ham   |   8   |     4941    |     848     |
|  Sam   |   Ham   |   9   |     6126    |     988     |
|  Boo   |   Ice   |   3   |     2866    |     824     |
| Wally  |  Butter |   10  |     1618    |     684     |
|  Chae  |  Apple  |   4   |     4284    |     893     |
|  Chae  |  Dates  |   8   |     5140    |     945     |
| Wally  |   Ice   |   4   |     3511    |     942     |
|  Sam   |  Grapes |   4   |     5247    |     951     |
| Emily  |   Fish  |   3   |     2314    |     982     |
|  Chae  |  Grapes |   7   |     3900    |     969     |
| Wally  |   Eggs  |   4   |     7351    |     953     |
| Helen  |  Grapes |   3   |     4425    |     846     |
|  Mia   |  Cherry |   10  |     3234    |     725     |
| Wally  | Jellies |   5   |     6073    |     905     |
| Emily  |  Apple  |   5   |     2767    |     933     |
|  Chae  | Jellies |   2   |     1988    |     791     |
|  Sam   |  Cherry |   9   |     3628    |     916     |
| Claire |   Ice   |   11  |     2144    |     488     |
|  Chae  |  Apple  |   9   |     3208    |     676     |
|  Sam   |  Cherry |   1   |     1367    |     747     |
|  Chae  |   Ice   |   9   |     2780    |     973     |
|  Sam   |   Fish  |   10  |     5790    |     945     |
| Claire |  Butter |   1   |     4459    |     655     |
|  Mia   |   Ice   |   6   |     3209    |     692     |
|  Chae  |  Dates  |   9   |     6540    |     920     |
|  Chae  |   Eggs  |   11  |     4768    |     971     |
|  Chae  |  Grapes |   5   |     4984    |     997     |
|  Sam   |  Butter |   6   |     4958    |     943     |
| Helen  |   Eggs  |   4   |     5578    |     998     |
| Helen  |   Ice   |   4   |     4133    |     979     |
|  Sam   |  Apple  |   3   |     4318    |     835     |
|  Sam   |  Dates  |   1   |     4046    |     825     |
|  Boo   |   Ham   |   5   |     3939    |     952     |
|  Sam   |   Ham   |   4   |     3117    |     839     |
| Claire |  Cherry |   6   |     5377    |     843     |
|  Sam   |   Ice   |   9   |     4312    |     864     |
|  Boo   |   Fish  |   10  |     3608    |     989     |
| Claire |  Apple  |   8   |     6244    |     974     |
|  Chae  |   Ham   |   2   |     5011    |     959     |
|  Sam   |  Apple  |   10  |     6218    |     983     |
| Claire |   Ham   |   3   |     3960    |     966     |
|  Mia   |   Ice   |   4   |     5858    |     949     |
| Emily  |   Ice   |   8   |     3630    |     898     |
| Wally  |   Fish  |   7   |     5156    |     948     |
| Claire |  Apple  |   10  |     3370    |     969     |
|  Chae  |  Apple  |   1   |     2894    |     831     |
|  Boo   | Jellies |   3   |     3910    |     778     |
|  Chae  |  Dates  |   7   |     2609    |     893     |
| Helen  |   Ice   |   3   |     1981    |     977     |
|  Boo   |  Grapes |   10  |     6573    |     998     |
|  Sam   |  Cherry |   10  |     5130    |     919     |
| Wally  | Jellies |   12  |     5816    |     984     |
|  Dan   |   Eggs  |   11  |     2921    |     933     |
|  Boo   |   Fish  |   5   |     2712    |     901     |
|  Sam   |  Dates  |   9   |     4863    |     878     |
|  Chae  | Jellies |   7   |     4644    |     990     |
|  Dan   |  Butter |   3   |     4805    |     974     |
| Emily  |   Ice   |   12  |     3525    |     952     |
| Helen  |   Ham   |   12  |     3546    |     775     |
|  Mia   |  Apple  |   6   |     6689    |     931     |
|  Boo   |  Cherry |   7   |     5747    |     952     |
| Helen  | Jellies |   3   |     4408    |     938     |
| Helen  |   Fish  |   9   |     5169    |     978     |
|  Sam   |   Fish  |   8   |     1929    |     820     |
|  Boo   |   Fish  |   12  |     4609    |     932     |
| Claire |   Ham   |   9   |     6089    |     982     |
| Claire |  Dates  |   7   |     3585    |     958     |
|  Sam   |  Apple  |   6   |     6823    |     1000    |
|  Boo   |  Dates  |   7   |     4220    |     776     |
|  Dan   |   Ham   |   4   |     2576    |     850     |
|  Dan   |   Fish  |   3   |     5177    |     987     |
| Helen  |   Eggs  |   1   |     5396    |     951     |
| Wally  |   Eggs  |   11  |     8872    |     972     |
|  Mia   |  Dates  |   11  |     3260    |     950     |
|  Boo   |  Butter |   4   |     5575    |     754     |
|  Dan   |  Butter |   4   |     6632    |     916     |
|  Mia   |   Eggs  |   10  |     4412    |     725     |
|  Dan   |  Butter |   7   |     3617    |     842     |
|  Dan   |  Butter |   12  |     1755    |     875     |
| Wally  |   Fish  |   9   |     5709    |     974     |
| Claire |   Ice   |   2   |     2406    |     860     |
|  Chae  |   Ham   |   5   |     3983    |     997     |
|  Sam   |  Butter |   12  |     4428    |     966     |
|  Chae  |   Fish  |   1   |     6045    |     955     |
|  Boo   |   Fish  |   3   |     3377    |     903     |
|  Sam   |  Cherry |   4   |     5990    |     944     |
|  Sam   |  Butter |   11  |     4208    |     978     |
|  Boo   |   Ice   |   6   |     5223    |     977     |
|  Boo   |   Ham   |   11  |     5595    |     973     |
| Emily  | Jellies |   10  |     2990    |     904     |
| Helen  |  Butter |   5   |     4276    |     985     |
|  Dan   |  Dates  |   12  |     5223    |     968     |
| Helen  |  Grapes |   2   |     2398    |     631     |
| Wally  |  Cherry |   11  |     5550    |     957     |
| Emily  |  Apple  |   9   |     5592    |     975     |
| Emily  | Jellies |   9   |     1958    |     712     |
|  Sam   |   Fish  |   12  |     6425    |     868     |
|  Sam   |  Butter |   9   |     4657    |     904     |
| Emily  |  Cherry |   11  |     2466    |     594     |
|  Chae  | Jellies |   9   |     2698    |     810     |
| Claire | Jellies |   3   |     2460    |     808     |
| Claire |  Dates  |   6   |     3419    |     863     |
| Helen  |   Ice   |   6   |     4138    |     903     |
|  Mia   |  Cherry |   12  |     3968    |     992     |
|  Chae  | Jellies |   12  |     4743    |     847     |
|  Dan   |   Ice   |   1   |     3294    |     930     |
|  Chae  |  Grapes |   2   |     5442    |     975     |
|  Chae  |  Butter |   4   |     2389    |     925     |
|  Dan   |  Butter |   1   |     5094    |     962     |
| Wally  |  Dates  |   2   |     3628    |     751     |
| Helen  |  Butter |   2   |     1436    |     710     |
| Wally  |  Butter |   8   |     4664    |     951     |
| Claire |   Ice   |   6   |     2404    |     789     |
|  Chae  |  Cherry |   2   |     5622    |     950     |
| Emily  |  Dates  |   1   |     5636    |     952     |
|  Chae  |  Cherry |   12  |     3171    |     956     |
| Emily  |  Dates  |   7   |     5983    |     866     |
|  Chae  |  Cherry |   5   |     5103    |     982     |
|  Boo   |  Grapes |   8   |     5360    |     890     |
|  Chae  |   Eggs  |   9   |     4053    |     891     |
|  Mia   |  Apple  |   9   |     3785    |     990     |
| Emily  |  Cherry |   9   |     5213    |     920     |
|  Mia   |  Grapes |   10  |     1477    |     647     |
|  Mia   |  Cherry |   4   |     2473    |     897     |
| Wally  |  Butter |   2   |     5066    |     958     |
|  Boo   | Jellies |   4   |     5354    |     983     |
| Wally  |  Dates  |   4   |     5632    |     837     |
|  Dan   |  Apple  |   6   |     4366    |     884     |
| Emily  |   Ham   |   7   |     7232    |     979     |
|  Chae  |   Ham   |   12  |     3676    |     930     |
|  Boo   |   Ice   |   7   |     4246    |     986     |
| Claire | Jellies |   8   |     3936    |     695     |
|  Boo   | Jellies |   5   |     3404    |     922     |
|  Dan   |   Eggs  |   6   |     4606    |     970     |
| Wally  |   Ham   |   2   |     3356    |     928     |
|  Mia   |  Grapes |   8   |     4659    |     975     |
| Wally  |  Apple  |   3   |     6596    |     959     |
|  Mia   | Jellies |   6   |     6184    |     948     |
| Emily  |   Fish  |   4   |     1928    |     866     |
| Emily  |  Apple  |   4   |     5851    |     937     |
|  Sam   |  Butter |   3   |     4892    |     872     |
|  Mia   |  Cherry |   6   |     5350    |     742     |
| Wally  |   Eggs  |   2   |     2717    |     786     |
|  Chae  |  Butter |   8   |     9299    |     995     |
|  Mia   |  Grapes |   7   |     1787    |     669     |
|  Dan   |   Fish  |   2   |     4671    |     972     |
|  Boo   |  Grapes |   6   |     3403    |     844     |
| Emily  |  Dates  |   4   |     3584    |     899     |
| Emily  |  Dates  |   2   |     3870    |     899     |
|  Sam   |  Dates  |   5   |     3095    |     838     |
| Claire |  Grapes |   7   |     1245    |     435     |
| Claire |   Fish  |   9   |     5347    |     990     |
|  Mia   |  Cherry |   3   |     4141    |     958     |
|  Dan   |  Apple  |   2   |     4754    |     996     |
| Emily  |   Ice   |   9   |     577     |     551     |
|  Dan   |   Eggs  |   5   |     2512    |     900     |
|  Boo   |   Fish  |   2   |     2553    |     879     |
|  Sam   |   Ice   |   6   |     3404    |     786     |
| Helen  |  Cherry |   5   |     1616    |     920     |
| Wally  |  Grapes |   9   |     3495    |     778     |
|  Boo   |   Fish  |   7   |     2390    |     895     |
|  Mia   |  Cherry |   2   |     4647    |     811     |
|  Boo   | Jellies |   10  |     3863    |     784     |
| Helen  |   Ice   |   8   |     2749    |     715     |
|  Mia   |  Grapes |   12  |     3738    |     817     |
|  Chae  |   Fish  |   4   |     3512    |     761     |
| Helen  |  Grapes |   5   |     3202    |     886     |
| Emily  |   Fish  |   7   |     2246    |     756     |
|  Chae  |  Grapes |   10  |     3049    |     866     |
|  Mia   |  Butter |   9   |     3531    |     878     |
| Wally  |  Apple  |   12  |     4029    |     912     |
|  Mia   |   Ice   |   3   |     5721    |     985     |
|  Mia   |   Fish  |   8   |     4868    |     857     |
|  Chae  | Jellies |   8   |     1856    |     882     |
|  Boo   |  Apple  |   5   |     908     |     415     |
|  Mia   |   Ice   |   2   |     3456    |     839     |
| Wally  |  Cherry |   8   |     3721    |     914     |
| Emily  |  Grapes |   8   |     4503    |     978     |
| Emily  |   Ice   |   3   |     1049    |     422     |
| Claire |  Butter |   10  |     3530    |     858     |
|  Mia   |   Ice   |   10  |     4961    |     974     |
| Emily  |  Cherry |   5   |     771     |     708     |
|  Boo   |  Apple  |   11  |     3856    |     991     |
| Helen  |  Butter |   11  |     3558    |     911     |
|  Dan   |   Eggs  |   2   |     3149    |     942     |
| Wally  | Jellies |   6   |     3817    |     877     |
|  Sam   |  Butter |   5   |     5010    |     999     |
|  Sam   |  Dates  |   7   |     6486    |     977     |
|  Chae  |   Fish  |   11  |     5255    |     844     |
| Helen  |  Cherry |   12  |     3152    |     927     |
|  Dan   |  Grapes |   7   |     3082    |     870     |
|  Boo   |  Dates  |   5   |     3159    |     966     |
|  Dan   |   Ham   |   12  |     3705    |     986     |
|  Mia   |   Fish  |   6   |     1802    |     975     |
| Claire |  Apple  |   2   |     2429    |     885     |
| Emily  |  Apple  |   8   |     4987    |     871     |
| Helen  |   Eggs  |   7   |     2343    |     770     |
|  Sam   | Jellies |   3   |     2690    |     784     |
|  Boo   |  Butter |   9   |     4894    |     904     |
| Helen  |  Apple  |   12  |     2407    |     887     |
| Wally  |  Grapes |   2   |     2936    |     945     |
|  Boo   |   Fish  |   1   |     2882    |     832     |
|  Mia   |  Dates  |   6   |     2436    |     988     |
|  Mia   |  Grapes |   1   |     3697    |     779     |
|  Boo   |   Eggs  |   2   |     4790    |     958     |
|  Dan   | Jellies |   12  |     3639    |     900     |
|  Mia   |   Fish  |   7   |     5752    |     972     |
| Emily  |  Grapes |   6   |     1573    |     682     |
|  Sam   |  Apple  |   7   |     3152    |     888     |
| Claire |  Dates  |   10  |     3278    |     846     |
|  Sam   |   Eggs  |   11  |     5347    |     963     |
|  Sam   |  Butter |   4   |     2124    |     728     |
|  Dan   |   Fish  |   8   |     2936    |     760     |
|  Boo   |  Butter |   12  |     3057    |     710     |
| Claire |  Cherry |   12  |     3485    |     780     |
|  Dan   |  Cherry |   5   |     3083    |     903     |
